"Year","Chamber","distcyc","Democrat","Republican","dem_rid","dem_fec_cand_id","dem_fec_comm_id","rep_rid","rep_fec_cand_id","rep_fec_comm_id","dem_vote_share","dem_pres_vs","dem_diff","incumbency_status","dem_composite","rep_composite","dem_cces_voter_perceptions","rep_cces_voter_perceptions","dem_cfscore","rep_cfscore","dem_dwdime","rep_dwdime","dem_dwnom","rep_dwnom","dem_contrib_cfscore","rep_contrib_cfscore","dem_contrib_dwnom","rep_contrib_dwnom","dem_hall_snyder","rep_hall_snyder","dem_ggum","rep_ggum","dem_shor_mcarty_state_leg","rep_shor_mcarty_state_leg","dem_bailey_bridge","rep_bailey_bridge","dem_web_text_score","rep_web_text_score","dem_meisels_text_score","rep_meisels_text_score","dem_twitter_score","rep_twitter_score","dem_pac_mod_nyt","rep_pac_mod_nyt","dem_pac_mod_nyt_24","rep_pac_mod_nyt_24","dem_pac_prog_nyt","dem_pac_prog_nyt_24","dem_tenure","rep_tenure","turnout_rate_dem","turnout_rate_rep","turnout_rate_ind","dem_total_receipts","rep_total_receipts","dem_total_pac_contribs","dem_total_indiv_unitemized","dem_total_indiv_contrib","dem_total_contribs_from_self","dem_total_disbursements","dem_cand_gender","rep_total_receipts.1","rep_total_pac_contribs","rep_total_indiv_unitemized","rep_total_indiv_contrib","rep_total_contribs_from_self","rep_total_disbursements","rep_cand_gender","split_ticket_war","GEM_WAR","nyt_mod"
2024,"House","2024_AZ_06","Kirsten Engel","Juan Ciscomani","cand210727","H2AZ02311","C00773820","cand6581","H2AZ02360","C00786194",0.487,0.495,-0.00782148894949497,"Rep Incumbent",-3.493,3.313,-1.164,1.19,-1.062,0.906,-0.69,0.798,NA,0.577,NA,NA,NA,NA,-0.969,0.948,NA,NA,NA,NA,NA,NA,-0.868,1.574,-1.372,1.03,NA,NA,"mod","mod","mod","mod","nonprog","nonprog",3,0,0.86290776408227,0.862209597970075,0.691257426282226,8461618.48,7034515.78,636015.34,1636482.26,5202575.5,0,8430005.34,"F",7034515.78,1940183.02,478640.98,3148285.71,0,6847192.08,"M",-1.85,0.00302464,"mod"
2024,"House","2024_AZ_07","Raul Grijalva","Daniel Butierez","cand873","H2AZ07070","C00374058","cand218241","H4AZ07134","C00856773",0.634,0.612,0.022245953040816,"Dem Incumbent",-4.221,4.177,-1.494,NA,-0.975,1.349,-1.357,NA,-1.585,NA,-0.863,NA,NA,NA,-0.896,0.801,-1.689,NA,NA,NA,-1.838,NA,-0.897,NA,-0.478,0.985,-1.041,NA,"nonmod","nonmod","nonmod","nonmod","prog","nonprog",10,0,0.731545318381474,0.741611653663593,0.481550972988673,643862.68,78606.9,164500,191331.3,283265.74,0,549407.41,"M",78606.9,1000,11621.06,19390.41,46595.43,78014.76,"M",-0.3,-0.018168,"nonmod"
2024,"House","2024_AZ_08","Greg Whitten","Abraham Hamadeh","cand218244","H4AZ08090","C00849968","cand160124","H4AZ08108","C00853986",0.435,0.414,0.020851382858586,"Open Seat",-3.164,4.526,NA,NA,-1.036,1.193,-0.715,1.683,NA,1.264,NA,1.239,NA,1.381,-0.84,1.14,NA,NA,NA,NA,NA,NA,NA,NA,-1.122,0.958,NA,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,0,0.82826839053389,0.869158147042998,0.658642606233626,576752.74,1994018.86,1500,125394.87,341281.21,5447.46,576752.74,"M",1994018.86,151750,501158.3,836391.78,5030,1957610.26,"M",-3.2,0.0295906,"nonmod"
2024,"House","2024_AZ_09","Quacy Smith","Paul Gosar","cand218254","H4AZ09049","C00841767","cand1094","H0AZ01259","C00461806",0.347,0.343,0.003588206565657,"Rep Incumbent",-3.809,4.514,NA,1.366,-1.089,1.005,-0.975,1.826,NA,1.584,NA,0.901,NA,1.485,-0.995,1.247,NA,1.359,NA,NA,NA,0.872,NA,1.604,-1.231,0.509,NA,1.444,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,6,0.778406307068727,0.834936919102104,0.594177104498341,235361.6,474682.02,5000,58069.91,86459.42,5267.5,211705.78,"U",474682.02,34900,74169.67,354360.99,0,497470.48,"M",-2,0.01141755,"nonmod"
2024,"House","2024_AR_01","Rodney Govens","Rick Crawford","cand159172","H4AR01077","C00868141","cand1097","H0AR01083","C00462374",0.248,0.265,-0.01759725444898,"Rep Incumbent",-2.967,2.977,NA,1.119,-1.135,0.786,-0.901,1.041,NA,0.994,NA,NA,NA,NA,-0.976,0.814,NA,0.812,NA,NA,NA,1.016,NA,NA,-0.44,0.172,NA,0.978,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,6,0.710555590275608,0.842657364554695,0.456375129095275,95238.76,1098029.43,10055,22876.91,38483.55,0,94346.65,"M",1098029.43,740193.96,10022.92,315335,0,889704.9,"M",1.4,-0.00976813,"nonmod"
2024,"House","2024_AR_02","Marcus Jones","French Hill","cand218197","H4AR02232","C00853614","cand143047","H4AR02141","C00551275",0.411,0.418,-0.00771521093877597,"Rep Incumbent",-3.09,2.974,NA,1.201,-1.185,0.732,-1.008,1.097,NA,0.938,NA,0.758,NA,0.965,-0.976,0.841,NA,0.913,NA,NA,NA,0.999,NA,0.447,-0.224,0.358,NA,0.625,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,4,0.802385911067266,0.877920671108816,0.509504224417534,476872.35,3802050.59,19300,114149.61,340427.46,0,473322.69,"M",3802050.59,1690250,46958.49,1710343.07,0,3306363.41,"M",-1.65,-0.0103909,"nonmod"
2024,"House","2024_AR_03","Caitlin Draper","Steve Womack","cand218198","H4AR03065","C00852178","cand1099","H0AR03055","C00477745",0.332,0.371,-0.038723932618557,"Rep Incumbent",-4.164,3.222,NA,1.166,-1.078,0.708,-1.111,0.947,NA,0.721,NA,0.903,NA,0.866,-1.112,0.844,NA,0.722,NA,NA,NA,0.998,NA,1.135,-1.437,NA,NA,0.909,"nonmod","mod","nonmod","mod","nonprog","nonprog",0,6,0.815070082297225,0.880439460449789,0.536945279986814,258728.4,2474937.89,4000,85299.54,165401.04,925.12,257970.44,"F",2474937.89,1227581.58,68506.29,1007079.45,0,2703359.12,"M",1.45,-0.0093172,"nonmod"
2024,"House","2024_AR_04","Risie Howard","Bruce Westerman","cand218200","H4AR04089","C00867176","cand161310","H4AR04048","C00548180",0.271,0.296,-0.025035158346939,"Rep Incumbent",-3.757,3.331,NA,1.348,-1.059,0.821,NA,1.324,NA,1.203,NA,NA,NA,NA,-1.068,0.911,NA,1.066,NA,1.578,NA,1.278,NA,0.151,-1.121,-0.677,NA,0.848,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,6,0.722446624350837,0.849472969266337,0.439161768402907,12981.87,2736566.95,4549.47,1926.24,3806.97,701.37,9156.36,"U",2736566.95,1310140.58,33982.04,1061610.27,0,1178557.57,"M",0.85,-0.01889165,"nonmod"
2024,"House","2024_CA_01","Rose Penelope Yee","Doug LaMalfa","cand218263","H4CA01140","C00852335","cand28663","H2CA02142","C00509422",0.347,0.371,-0.024560411618557,"Rep Incumbent",-3.517,3.897,NA,1.319,-1.16,0.748,-1.019,1.264,NA,1.191,NA,0.807,NA,1.288,-1.34,0.693,NA,1.027,NA,1.555,NA,1.192,NA,1.256,NA,NA,NA,0.507,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,10,0.726601768785392,0.802045617771614,0.562932579467145,85287.46,1012001.47,2000,17359.56,42705,0,79239.05,"F",1012001.47,380280.8,34045.68,593909.16,0,694249.77,"M",1.45,0.00243633,"nonmod"
2024,"House","2024_CA_02","Jared Huffman","Chris Coulombe","cand40450","H2CA06259","C00536680","cand210809","H2CA02241","C00808840",0.719,0.732,-0.013121091886598,"Dem Incumbent",-4.39,1.669,-1.352,NA,-1.029,0.793,-1.232,NA,-1.178,NA,-0.985,NA,-1.028,NA,-1.091,0.544,-1.619,NA,-1.929,NA,-1.464,NA,NA,-0.118,NA,NA,-0.766,NA,"mod","nonmod","nonmod","nonmod","nonprog","nonprog",8,0,0.838834147675613,0.804203700250689,0.660953654124194,1015638,123590.25,416645.64,61489.54,471192.9,0,958525.63,"M",123590.25,0,22240.73,82727.6,0,123059.31,"M",2,0.00308888,"nonmod"
2024,"House","2024_CA_03","Jessica Morse","Kevin Kiley","cand141527","H8CA04210","C00650408","cand131342","H2CA03157","C00801985",0.445,0.485,-0.039209985474227,"Rep Incumbent",-3.446,3.04,-1.158,1.313,-1.119,0.832,-0.927,0.728,NA,0.487,-1.122,NA,NA,NA,-1.1,0.896,NA,NA,NA,NA,NA,NA,-0.719,NA,NA,NA,NA,NA,"mod","mod","mod","mod","nonprog","nonprog",0,3,0.836272614126328,0.845730970033837,0.696779051070672,3082382.7,4266297.67,208307.5,500066.03,2315005.88,0,3262405.92,"F",4266297.67,650693.34,741429.03,2273889.65,0,3922166.31,"M",1.05,0.0005337555,"mod"
2024,"House","2024_CA_04","Mike Thompson","John Munn","cand145356","H8CA01109","C00326363","cand218277","H4CA04128","C00855866",0.665,0.66,0.00476203956700993,"Dem Incumbent",-2.962,4.486,-0.976,NA,-0.692,1.298,-1.098,1.575,-1.085,NA,NA,NA,NA,NA,-0.684,1.09,-1.117,NA,NA,NA,-1.159,NA,-0.452,NA,NA,NA,-0.636,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",12,0,0.787994755073015,0.795939132409721,0.616130084676642,2434299.38,159805.48,1493286,100836.31,793904.9,0,2852644.87,"M",159805.48,300,14424.37,16465.61,0,159805.48,"M",1.05,0.01870535,"mod"
2024,"House","2024_CA_05","Michael Barkley","Tom McClintock","cand40365","H2CA00096","C00495507","cand134698","H8CA04152","C00446815",0.382,0.408,-0.025815112306122,"Rep Incumbent",-3.366,4.109,-0.534,1.478,-1.173,0.995,-0.943,1.605,NA,1.51,-1.121,0.935,-0.912,1.625,-1.178,0.984,NA,1.429,NA,1.954,NA,0.625,-0.904,0.407,NA,NA,NA,0.876,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",0,13,0.770352676143867,0.825852519124605,0.639619544945916,86712.32,1171016.98,250,8285.57,5405,0,82051.67,"M",1171016.98,221265.18,180889.23,756562.72,0,1160351.97,"M",1,0.02099315,"nonmod"
2024,"House","2024_CA_06","Ami Bera","Christine Bish","cand35060","H0CA03078","C00461061","cand152635","H0CA06170","C00721548",0.576,0.573,0.00327327833333302,"Dem Incumbent",-2.857,3.516,-1.152,0.472,-1.025,1.17,-0.739,1.491,-0.725,NA,-0.998,1.215,-0.67,NA,-0.91,1.195,-0.882,NA,NA,NA,-0.868,NA,-0.331,0.694,NA,NA,-0.664,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",5,0,0.766813135590812,0.794009795625304,0.606472106412547,1250010.96,182260.28,783204.83,62602.12,395563.44,0,1111772.18,"M",182260.28,0,44134.62,128594.66,500,182368.4,"F",0.45,-0.01319955,"nonmod"
2024,"House","2024_CA_07","Doris Matsui","Tom Silva","cand121877","H6CA05195","C00409219","cand218288","H4CA07089","C00855205",0.668,0.656,0.011258537,"Dem Incumbent",-3.677,4.781,-1.193,NA,-0.756,1.442,-1.192,NA,-1.183,NA,-0.694,NA,-0.974,NA,-0.816,1.221,-1.316,NA,NA,NA,-1.388,NA,-0.909,NA,NA,NA,-0.729,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",8,0,0.765310919050744,0.786623238903197,0.592151855101529,1239231.82,5551.5,872251.38,28622.83,338267.59,0,1113903.11,"F",5551.5,0,501.5,1050,0,5551.5,"M",-0.25,0.00756225,"nonmod"
2024,"House","2024_CA_08","John Garamendi","Rudy Recile","cand1085","H0CA10149","C00462697","cand210793","H2CA00153","C00784835",0.74,0.722,0.018056774463918,"Dem Incumbent",-3.014,3.452,-1.058,0.584,-0.726,1.222,-0.956,NA,-0.89,NA,-0.789,1.201,-0.802,1.166,-0.862,1.411,-1.04,NA,NA,NA,-0.915,NA,-0.573,0.448,NA,NA,-0.745,NA,"mod","nonmod","nonmod","nonmod","nonprog","nonprog",10,0,0.720916974599687,0.736725524695237,0.541494104412316,1113065.76,21437.01,561350,25754.42,525718.57,0,969795.57,"M",21437.01,0,5188,12035.01,0,20893.56,"M",0.25,-0.0117592,"nonmod"
2024,"House","2024_CA_09","Josh Harder","Kevin Lincoln","cand140532","H8CA10126","C00639146","cand218291","H4CA09093","C00845826",0.518,0.495,0.023075365175258,"Dem Incumbent",-3.383,3.167,-1.07,NA,-1.089,1.004,-0.867,1.067,-0.876,NA,NA,NA,NA,NA,-1.083,0.959,-0.502,NA,NA,NA,-0.76,NA,-0.983,NA,NA,NA,-1.264,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",2,0,0.657588292225846,0.757084885300269,0.533578004701997,5415539.47,2278918.26,590024,800349.19,3706674.23,0,4876309.57,"M",2278918.26,465595.4,206705.02,1128795.49,0,2254794.13,"M",0.05,0.00240163,"mod"
2024,"House","2024_CA_10","Mark DeSaulnier","Katherine Piccinini","cand160825","H0CA10073","C00554709","cand218295","H4CA10109","C00845438",0.665,0.677,-0.012348760333333,"Dem Incumbent",-4.652,4.106,-1.211,NA,-0.889,1.294,-1.261,NA,-1.375,NA,-1.005,NA,-0.924,NA,-1.146,1.167,-1.712,NA,-2.025,NA,-1.564,NA,NA,NA,NA,NA,-0.973,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",10,0,0.805993645232065,0.814770862498957,0.678217890803636,664974.75,40733.96,377249,36598.52,249377.65,0,611351.83,"M",40733.96,0,16079.38,22100,0,38651.73,"F",1.65,-0.004939715,"nonmod"
2024,"House","2024_CA_11","Nancy Pelosi","Bruce Lou","cand760","H8CA05035","C00213512","cand218300","H4CA11164","C00849315",0.81,0.854,-0.0438243306666669,"Dem Incumbent",-4.333,4.218,-1.499,NA,-1.053,0.941,-1.262,1.674,-1.322,NA,-0.764,NA,-0.875,NA,-1.058,1.031,-1.381,NA,NA,NA,-1.862,NA,-1.016,NA,NA,NA,-1.248,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",18,0,0.809082769500208,0.737790422000948,0.650115473441109,10223363.88,208130.5,251518.53,5340919.24,4213520.42,0,11739026.18,"F",208130.5,3300,33092.15,65977.51,4151.26,208130.5,"M",5.3,0.01768505,"nonmod"
2024,"House","2024_CA_13","Adam Gray","John Duarte","cand123144","H2CA13115","C00801431","cand157230","H2CA13131","C00808279",0.5,0.474,0.026216489876289,"Rep Incumbent",-2.289,2.817,-0.505,1.042,-0.906,0.903,-0.756,0.801,-0.722,0.689,-0.753,0.931,NA,0.878,-0.925,0.847,NA,NA,-0.589,NA,NA,NA,-0.403,NA,NA,NA,NA,NA,"mod","mod","mod","mod","nonprog","nonprog",5,0,0.624708786332372,0.720673624465563,0.476844312161884,6430861.59,4575222.42,677578.2,1083816.97,4169238.13,0,6283623.17,"M",4575222.42,1354621.88,94056.1,1667290.86,0,4380432.07,"M",-2.6,-0.00710526,"mod"
2024,"House","2024_CA_14","Eric Swalwell","Vin Kruttiventi","cand40569","H2CA15094","C00502294","cand218314","H4CA14093","C00839944",0.678,0.688,-0.00996334899999995,"Dem Incumbent",-3.874,1.336,-1.205,NA,-0.947,0.357,-1.042,0.473,-0.993,NA,NA,NA,NA,NA,-1.045,0.026,-1.294,NA,NA,NA,-1.298,NA,-0.91,NA,NA,NA,-1.467,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",5,0,0.731047578761518,0.761938895576083,0.603745925914902,4143083.15,850582.78,628032.04,511245.78,2836257.64,0,4471680.34,"M",850582.78,51521,6717.53,91594.25,0,842783.13,"M",2.45,-0.00631786,"nonmod"
2024,"House","2024_CA_15","Kevin Mullin","Anna Cheng Kramer","cand123146","H2CA14162","C00795005","cand218317","H4CA15074","C00847590",0.731,0.75,-0.0190299229999999,"Dem Incumbent",-4.301,4.021,-1.005,NA,-0.864,1.105,-1.264,1.47,-1.283,NA,-0.866,NA,-1.026,NA,-1.165,1.101,NA,NA,-1.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",5,0,0.777975552219601,0.778569956019791,0.638159156279962,811090.91,160182.74,428505.79,22889.11,308072.36,0,793853.82,"M",160182.74,0,30502.65,108964.73,1100,158495.01,"F",3,-0.00568886,"nonmod"
2024,"House","2024_CA_17","Ro Khanna","Anita Chen","cand45892","H4CA12055","C00503185","cand218330","H4CA17310","C00851659",0.677,0.698,-0.0212687146666669,"Dem Incumbent",-4.301,2.948,-1.046,NA,-0.945,0.795,-1.2,NA,-1.258,NA,-0.885,NA,-1.021,NA,-0.938,1.203,-1.789,NA,NA,NA,-1.476,NA,-1.124,NA,NA,NA,-1.289,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",3,0,0.739183747777849,0.741290258907129,0.62958159801989,10570516.03,73273.05,2000,647965.02,9482999.98,0,5149945.7,"M",73273.05,0,16786.79,55241.65,464.11,72202.27,"F",4.05,-0.0175569,"prog"
2024,"House","2024_CA_18","Zoe Lofgren","Peter Hernandez","cand1341","H4CA16049","C00289603","cand210888","H2CA18163","C00799171",0.646,0.649,-0.00322579408247403,"Dem Incumbent",-3.644,3.179,-1.352,0.737,-0.929,1.046,-1.147,1.424,-1.098,NA,-0.923,NA,-0.831,NA,-1.005,1.006,-1.363,NA,NA,NA,-1.351,NA,-0.476,0.095,NA,NA,-0.831,NA,"nonmod","nonmod","nonmod","nonmod","nonprog","nonprog",14,0,0.674911460108003,0.732383148186963,0.511144415911978,2327179.93,198166.89,686799.01,247668.27,1214766.16,0,2498797.41,"F",198166.89,3500,30393.89,161174.3,0,199052.48,"M",3.45,0.005471365,"nonmod"
2024,"House","2024_CA_19","Jimmy Panetta","Jason Anderson","cand134655","H6CA20152","C00592154","cand218335","H4CA19100","C00855387",0.693,0.677,0.015873407666667,"Dem Incumbent",-3.051,4.818,-1.14,NA,-0.482,1.297,-0.831,NA,-0.834,NA,-0.943,NA,-0.756,NA,-0.653,1.472,-1.006,NA,NA,NA,-1.014,NA,-0.815,NA,NA,NA,-0.672,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",3,0,0.802677773262901,0.801811830292499,0.654809389462566,3357555.24,18044.56,1770648.82,114384.53,1469319.9,0,1823326.52,"M",18044.56,0,3209.99,4738.57,96,7642.84,"M",-0.35,0.0135248,"nonmod"
2024,"House","2024_CA_21","Jim Costa","Michael Maher","cand924","H4CA20082","C00391029","cand210907","H2CA22215","C00800144",0.526,0.52,0.00532944373469402,"Dem Incumbent",-2.155,2.419,-0.94,0.695,-0.155,0.976,-0.581,0.748,-0.61,NA,-0.755,NA,-0.622,NA,-0.365,0.816,-0.513,NA,-0.756,NA,-0.643,NA,-0.757,NA,NA,NA,-0.421,NA,"mod","nonmod","mod","nonmod","nonprog","nonprog",13,0,0.603965876305065,0.689602618524012,0.421271794320716,1709407.96,785000.57,1010513.42,4980.42,686722.58,0,1889604.27,"M",785000.57,83500,30518.71,615071.14,1500,753449.88,"M",2.7,-0.04067175,"mod"
